#,Pattern,Time (msec),,,,Probability,Cumulative,
482,N1 N2 N5 N3 S2 N4 N6 S3 N3 S2,961900,35333.33333,21534.10643,22533.33333,1 / 16384,0.987991333,6.10352E-05
483,N1 N2 S5 N5 N3 S7 N5 N2 N1 S1,961933.3333,35366.66667,21567.43976,22566.66667,1 / 16384,0.988052368,6.10352E-05
484,N1 N2 N5 S7 N3 N5 S5 N2 N1 S1,961966.6667,35400,21600.7731,22600,1 / 131072,0.988059998,7.62939E-06
485,N1 N2 N5 S5 S4 N1 N2 N5 N3 S7,962000,35433.33333,21634.10643,22633.33333,1 / 8192,0.988182068,0.00012207
486,N1 N2 N5 S5 S4 N1 N2 N5 N3 S3,962100,35533.33333,21734.10643,22733.33333,1 / 16384,0.988243103,6.10352E-05
487,N1 N2 N5 N3 S2 N4 S1 N2 N5 S5,962133.3333,35566.66667,21767.43976,22766.66667,1 / 131072,0.988250732,7.62939E-06
488,N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S2,962200,35633.33333,21834.10643,22833.33333,1 / 524288,0.98825264,1.90735E-06
489,N1 N2 S1 N1 N2 N5 N3 S3 N7 S7,962300,35733.33333,21934.10643,22933.33333,1 / 16384,0.988313675,6.10352E-05
490,N1 N2 S5 N5 S7 N3 N5 N2 N1 S4,962333.3333,35766.66667,21967.43976,22966.66667,1 / 16384,0.98837471,6.10352E-05
491,N1 N2 S1 N1 N2 N5 N3 S7 N7 S3,962366.6667,35800,22000.7731,23000,1 / 16384,0.988435745,6.10352E-05
492,N1 N2 N5 N3 S7 N5 S5 N2 N1 S4,962366.6667,35800,22000.7731,23000,1 / 16384,0.98849678,6.10352E-05
493,N1 N2 N5 S7 N3 N5 S5 N2 N1 S4,962500,35933.33333,22134.10643,23133.33333,1 / 65536,0.988512039,1.52588E-05
494,N1 N2 S5 N5 N3 S7 N5 N2 N1 S4,962500,35933.33333,22134.10643,23133.33333,1 / 8192,0.988634109,0.00012207
495,N1 N2 N5 S7 N3 N5 N2 N1 S4 S5,962633.3333,36066.66667,22267.43976,23266.66667,1 / 8192,0.98875618,0.00012207
496,N1 N2 N5 N3 S7 N5 N2 N1 S4 S5,962666.6667,36100,22300.7731,23300,1 / 2048,0.989244461,0.000488281
497,N1 N2 S5 N5 N3 S3 N6 N4 S1,962700,36133.33333,22334.10643,23333.33333,1 / 4096,0.989488602,0.000244141
498,N1 N2 N5 S7 N3 S3 N6 N4 S8,962733.3333,36166.66667,22367.43976,23366.66667,1 / 8192,0.989610672,0.00012207
499,N1 N2 N5 N3 S2 N4 S1 N2 N5 S7,962833.3333,36266.66667,22467.43976,23466.66667,1 / 131072,0.989618301,7.62939E-06
500,N1 N2 N5 N3 S3 S2 N4 N6 S3,962933.3333,36366.66667,22567.43976,23566.66667,1 / 4096,0.989862442,0.000244141
501,N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S7,962933.3333,36366.66667,22567.43976,23566.66667,1 / 65536,0.989877701,1.52588E-05
502,N1 N2 N5 N3 S3 S2 N3 N5 N2 S1,962966.6667,36400,22600.7731,23600,1 / 32768,0.989908218,3.05176E-05
503,N1 N2 S1 N1 N2 N5 N3 S2 N4 N6 S3,962966.6667,36400,22600.7731,23600,1 / 65536,0.989923477,1.52588E-05
504,N1 N2 N5 N3 S7 N5 N3 S7 S6,962966.6667,36400,22600.7731,23600,1 / 4096,0.990167618,0.000244141
505,N1 N2 N5 N3 S2 S3 N3 N5 N2 S1,963033.3333,36466.66667,22667.43976,23666.66667,1 / 65536,0.990182877,1.52588E-05
506,N1 N2 N5 N3 S2 S1 N1 N2 N5 N3 S3,963033.3333,36466.66667,22667.43976,23666.66667,1 / 131072,0.990190506,7.62939E-06
507,N1 N2 N5 N3 S3 N6 N4 S1 N1 S8,963033.3333,36466.66667,22667.43976,23666.66667,1 / 8192,0.990312576,0.00012207
508,N1 N2 N5 N3 S3 N6 N4 S2 S3,963066.6667,36500,22700.7731,23700,1 / 8192,0.990434647,0.00012207
509,N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S5,963100,36533.33333,22734.10643,23733.33333,1 / 131072,0.990442276,7.62939E-06
510,N1 N2 N5 N3 S7 N5 S5 N2 N5 S5,963166.6667,36600,22800.7731,23800,1 / 65536,0.990457535,1.52588E-05
511,N1 N2 N5 S5 N2 N5 N3 S7 N5 S5,963166.6667,36600,22800.7731,23800,1 / 65536,0.990472794,1.52588E-05
512,N1 N2 N5 S5 N2 N5 N3 S2 N4 S1,963200,36633.33333,22834.10643,23833.33333,1 / 131072,0.990480423,7.62939E-06
513,N1 S1 N4 N6 S3 N3 N5 N2 N1 S8,963266.6667,36700,22900.7731,23900,1 / 4096,0.990724564,0.000244141
514,N1 N2 N5 S7 N3 N5 S5 N2 N5 S5,963300,36733.33333,22934.10643,23933.33333,1 / 262144,0.990728378,3.8147E-06
515,N1 N2 N5 S5 N2 N5 S7 N3 N5 S5,963333.3333,36766.66667,22967.43976,23966.66667,1 / 262144,0.990732193,3.8147E-06
516,N1 N2 S1 N4 S8 N1 N2 N5 N3 S7,963333.3333,36766.66667,22967.43976,23966.66667,1 / 8192,0.990854263,0.00012207
517,N1 N2 S1 N4 S8 N1 N2 N5 N3 S3,963433.3333,36866.66667,23067.43976,24066.66667,1 / 16384,0.990915298,6.10352E-05
518,N1 N2 S5 N5 N3 S7 N5 N3 S7,963600,37033.33333,23234.10643,24233.33333,1 / 8192,0.991037369,0.00012207
519,N1 N2 N5 N3 S2 N4 N6 S3 N7 S7,963633.3333,37066.66667,23267.43976,24266.66667,1 / 2048,0.99152565,0.000488281
520,N1 N2 S5 N5 N3 S7 N5 N3 S3,963700,37133.33333,23334.10643,24333.33333,1 / 16384,0.991586685,6.10352E-05
521,N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 S7,963766.6667,37200,23400.7731,24400,1 / 131072,0.991594315,7.62939E-06
522,N1 N2 N5 S7 N3 S3 N6 N4 S2,963766.6667,37200,23400.7731,24400,1 / 8192,0.991716385,0.00012207
523,N1 N2 N5 S5 N2 N5 S7 N3 N5 S7,963800,37233.33333,23434.10643,24433.33333,1 / 262144,0.9917202,3.8147E-06
524,N1 N2 N5 S7 N3 N5 N2 S5 N5 S7,963833.3333,37266.66667,23467.43976,24466.66667,1 / 131072,0.991727829,7.62939E-06
525,N1 N2 N5 N3 S7 N5 N2 S5 N5 S7,963866.6667,37300,23500.7731,24500,1 / 32768,0.991758347,3.05176E-05
526,N1 N2 N5 N3 S7 N5 S5 N2 N5 S7,963866.6667,37300,23500.7731,24500,1 / 65536,0.991773605,1.52588E-05
527,N1 N2 N5 S7 N3 N5 S5 N2 N5 S7,964000,37433.33333,23634.10643,24633.33333,1 / 262144,0.99177742,3.8147E-06
528,N1 N2 N5 N3 S3 S2 N3 N5 N2 S5,964066.6667,37500,23700.7731,24700,1 / 32768,0.991807938,3.05176E-05
529,N1 N2 N5 N3 S2 S3 N3 N5 N2 S5,964133.3333,37566.66667,23767.43976,24766.66667,1 / 65536,0.991823196,1.52588E-05
530,N1 S1 N4 N6 S3 N3 N5 N2 N1 S1,964133.3333,37566.66667,23767.43976,24766.66667,1 / 4096,0.992067337,0.000244141
531,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S1,964366.6667,37800,24000.7731,25000,1 / 524288,0.992069244,1.90735E-06
532,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S1,964400,37833.33333,24034.10643,25033.33333,1 / 131072,0.992076874,7.62939E-06
533,N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S1,964400,37833.33333,24034.10643,25033.33333,1 / 131072,0.992084503,7.62939E-06
534,N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S1,964400,37833.33333,24034.10643,25033.33333,1 / 524288,0.992086411,1.90735E-06
535,N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S2,964400,37833.33333,24034.10643,25033.33333,1 / 262144,0.992090225,3.8147E-06
536,N1 N2 N5 N3 S7 N5 N3 S3 S2,964566.6667,38000,24200.7731,25200,1 / 16384,0.99215126,6.10352E-05
537,N1 N2 N5 S7 N3 S3 N6 N4 S1,964666.6667,38100,24300.7731,25300,1 / 4096,0.992395401,0.000244141
538,N1 N2 N5 N3 S3 N6 N4 S1 N1 S4,964666.6667,38100,24300.7731,25300,1 / 4096,0.992639542,0.000244141
539,N1 S1 N4 N6 S3 N3 N5 N2 N1 S4,964700,38133.33333,24334.10643,25333.33333,1 / 2048,0.993127823,0.000488281
540,N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S7,964833.3333,38266.66667,24467.43976,25466.66667,1 / 262144,0.993131638,3.8147E-06
541,N1 N2 S1 N1 N2 N5 S5 N2 N5 N3 S3,964933.3333,38366.66667,24567.43976,25566.66667,1 / 524288,0.993133545,1.90735E-06
542,N1 N2 N5 S7 N7 S3 N3 N5 N2 S1,965066.6667,38500,24700.7731,25700,1 / 32768,0.993164063,3.05176E-05
543,N1 N2 N5 N3 S3 N7 S7 N5 N3 S2,965066.6667,38500,24700.7731,25700,1 / 16384,0.993225098,6.10352E-05
544,N1 N2 N5 N3 S3 N7 S7 N5 N2 S1,965100,38533.33333,24734.10643,25733.33333,1 / 8192,0.993347168,0.00012207
545,N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S7,965233.3333,38666.66667,24867.43976,25866.66667,1 / 65536,0.993362427,1.52588E-05
546,N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S7,965300,38733.33333,24934.10643,25933.33333,1 / 32768,0.993392944,3.05176E-05
547,N1 N2 S1 N4 N6 S3 N3 N5 N2 S1,965333.3333,38766.66667,24967.43976,25966.66667,1 / 8192,0.993515015,0.00012207
548,N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S7,965333.3333,38766.66667,24967.43976,25966.66667,1 / 131072,0.993522644,7.62939E-06
549,N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S7,965333.3333,38766.66667,24967.43976,25966.66667,1 / 262144,0.993526459,3.8147E-06
550,N1 N2 S5 N5 N2 S1 N1 N2 N5 N3 S3,965333.3333,38766.66667,24967.43976,25966.66667,1 / 131072,0.993534088,7.62939E-06
551,N1 N2 S5 N5 N2 N1 S1 N2 N5 N3 S3,965400,38833.33333,25034.10643,26033.33333,1 / 65536,0.993549347,1.52588E-05
552,N1 N2 N5 S5 N2 N5 N3 S3 N7 S7,965400,38833.33333,25034.10643,26033.33333,1 / 16384,0.993610382,6.10352E-05
553,N1 N2 N5 S5 N2 N1 S1 N2 N5 N3 S3,965433.3333,38866.66667,25067.43976,26066.66667,1 / 262144,0.993614197,3.8147E-06
554,N1 N2 N5 S5 N2 S1 N1 N2 N5 N3 S3,965433.3333,38866.66667,25067.43976,26066.66667,1 / 524288,0.993616104,1.90735E-06
555,N1 N2 N5 S5 N2 N5 N3 S7 N7 S3,965433.3333,38866.66667,25067.43976,26066.66667,1 / 16384,0.993677139,6.10352E-05
556,N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 S5,965500,38933.33333,25134.10643,26133.33333,1 / 131072,0.993684769,7.62939E-06
557,N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 S5,965500,38933.33333,25134.10643,26133.33333,1 / 524288,0.993686676,1.90735E-06
558,N1 N2 N5 S7 N3 N5 S7 N3 S3,965700,39133.33333,25334.10643,26333.33333,1 / 32768,0.993717194,3.05176E-05
559,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 S5,965900,39333.33333,25534.10643,26533.33333,1 / 262144,0.993721008,3.8147E-06
560,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 S5,965933.3333,39366.66667,25567.43976,26566.66667,1 / 65536,0.993736267,1.52588E-05
561,N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 S5,965966.6667,39400,25600.7731,26600,1 / 262144,0.993740082,3.8147E-06
562,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 S5,966000,39433.33333,25634.10643,26633.33333,1 / 262144,0.993743896,3.8147E-06
563,N1 N2 N5 S5 N2 N5 N3 S2 N4 N6 S3,966033.3333,39466.66667,25667.43976,26666.66667,1 / 65536,0.993759155,1.52588E-05
564,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 S5,966033.3333,39466.66667,25667.43976,26666.66667,1 / 65536,0.993774414,1.52588E-05
565,N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S8,966100,39533.33333,25734.10643,26733.33333,1 / 65536,0.993789673,1.52588E-05
566,N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S8,966200,39633.33333,25834.10643,26833.33333,1 / 131072,0.993797302,7.62939E-06
567,N1 N2 N5 N3 S3 N7 S7 N5 N2 S5,966200,39633.33333,25834.10643,26833.33333,1 / 8192,0.993919373,0.00012207
568,N1 N2 N5 S7 N7 S3 N3 N5 N2 S5,966200,39633.33333,25834.10643,26833.33333,1 / 32768,0.99394989,3.05176E-05
569,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 S1,966333.3333,39766.66667,25967.43976,26966.66667,1 / 32768,0.993980408,3.05176E-05
570,N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S2,966466.6667,39900,26100.7731,27100,1 / 262144,0.993984222,3.8147E-06
571,N1 N2 S1 N4 N6 S3 N3 N5 N2 S5,966466.6667,39900,26100.7731,27100,1 / 8192,0.994106293,0.00012207
572,N1 N2 N5 N3 S7 N5 N3 S2 N4 S8,966500,39933.33333,26134.10643,27133.33333,1 / 65536,0.994121552,1.52588E-05
573,N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 S7,966666.6667,40100,26300.7731,27300,1 / 262144,0.994125366,3.8147E-06
574,N1 N2 N5 S7 N3 N5 N2 S1 N4 S8,966800,40233.33333,26434.10643,27433.33333,1 / 65536,0.994140625,1.52588E-05
575,N1 N2 N5 N3 S7 N5 N2 S1 N4 S8,966833.3333,40266.66667,26467.43976,27466.66667,1 / 16384,0.99420166,6.10352E-05
576,N1 N2 N5 N3 S3 N6 N4 S1 N2 S5,966933.3333,40366.66667,26567.43976,27566.66667,1 / 16384,0.994262695,6.10352E-05
577,N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S1,966966.6667,40400,26600.7731,27600,1 / 65536,0.994277954,1.52588E-05
578,N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S1,967066.6667,40500,26700.7731,27700,1 / 131072,0.994285583,7.62939E-06
579,N1 N2 N5 N3 S7 N7 S3 N3 S7,967200,40633.33333,26834.10643,27833.33333,1 / 2048,0.994773865,0.000488281
580,N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S8,967200,40633.33333,26834.10643,27833.33333,1 / 131072,0.994781494,7.62939E-06
581,N1 N2 N5 N3 S3 N7 S7 N3 S3,967333.3333,40766.66667,26967.43976,27966.66667,1 / 2048,0.995269775,0.000488281
582,N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S2,967433.3333,40866.66667,27067.43976,28066.66667,1 / 262144,0.99527359,3.8147E-06
583,N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 S1,967433.3333,40866.66667,27067.43976,28066.66667,1 / 262144,0.995277405,3.8147E-06
584,N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S2,967433.3333,40866.66667,27067.43976,28066.66667,1 / 262144,0.995281219,3.8147E-06
585,N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 S1,967466.6667,40900,27100.7731,28100,1 / 65536,0.995296478,1.52588E-05
586,N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 S1,967466.6667,40900,27100.7731,28100,1 / 131072,0.995304108,7.62939E-06
587,N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 S1,967466.6667,40900,27100.7731,28100,1 / 524288,0.995306015,1.90735E-06
588,N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S2,967500,40933.33333,27134.10643,28133.33333,1 / 131072,0.995313644,7.62939E-06
589,N1 N2 N5 N3 S3 N6 N4 S2 N3 S3,967533.3333,40966.66667,27167.43976,28166.66667,1 / 16384,0.99537468,6.10352E-05
590,N1 N2 N5 N3 S3 S2 N3 N5 N2 N1 S4,967533.3333,40966.66667,27167.43976,28166.66667,1 / 32768,0.995405197,3.05176E-05
591,N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S8,967533.3333,40966.66667,27167.43976,28166.66667,1 / 1048576,0.995406151,9.53674E-07
592,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S8,967566.6667,41000,27200.7731,28200,1 / 524288,0.995408058,1.90735E-06
593,N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S8,967566.6667,41000,27200.7731,28200,1 / 262144,0.995411873,3.8147E-06
594,N1 N2 N5 N3 S2 S3 N3 N5 N2 N1 S4,967600,41033.33333,27234.10643,28233.33333,1 / 65536,0.995427132,1.52588E-05
595,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S8,967600,41033.33333,27234.10643,28233.33333,1 / 131072,0.995434761,7.62939E-06
596,N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S2,967633.3333,41066.66667,27267.43976,28266.66667,1 / 524288,0.995436668,1.90735E-06
597,N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S2,967633.3333,41066.66667,27267.43976,28266.66667,1 / 524288,0.995438576,1.90735E-06
598,N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S2,967666.6667,41100,27300.7731,28300,1 / 131072,0.995446205,7.62939E-06
599,N1 N2 N5 N3 S7 N7 S3 N6 N4 S8,967800,41233.33333,27434.10643,28433.33333,1 / 4096,0.995690346,0.000244141
600,N1 N2 N5 N3 S3 N6 N4 S2 N3 S7,967866.6667,41300,27500.7731,28500,1 / 8192,0.995812416,0.00012207
601,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 S5,967866.6667,41300,27500.7731,28500,1 / 16384,0.995873451,6.10352E-05
602,N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S7,967900,41333.33333,27534.10643,28533.33333,1 / 262144,0.995877266,3.8147E-06
603,N1 N2 N5 N3 S2 N4 N6 S3 N3 S7,967966.6667,41400,27600.7731,28600,1 / 8192,0.995999336,0.00012207
604,N1 N2 N5 S7 N3 N5 N2 S1 N4 S2,967966.6667,41400,27600.7731,28600,1 / 65536,0.996014595,1.52588E-05
605,N1 N2 N5 N3 S7 N5 N2 S1 N4 S2,968000,41433.33333,27634.10643,28633.33333,1 / 16384,0.99607563,6.10352E-05
606,N1 N2 N5 S5 N2 N5 S5 N2 N5 N3 S3,968000,41433.33333,27634.10643,28633.33333,1 / 524288,0.996077538,1.90735E-06
607,N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S8,968233.3333,41666.66667,27867.43976,28866.66667,1 / 16384,0.996138573,6.10352E-05
608,N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S8,968233.3333,41666.66667,27867.43976,28866.66667,1 / 65536,0.996153831,1.52588E-05
609,N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S2,968233.3333,41666.66667,27867.43976,28866.66667,1 / 131072,0.996161461,7.62939E-06
610,N1 N2 N5 N3 S7 N5 N3 S7 N5 S5,968433.3333,41866.66667,28067.43976,29066.66667,1 / 32768,0.996191978,3.05176E-05
611,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S1,968433.3333,41866.66667,28067.43976,29066.66667,1 / 524288,0.996193886,1.90735E-06
612,N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S1,968433.3333,41866.66667,28067.43976,29066.66667,1 / 262144,0.996197701,3.8147E-06
613,N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S1,968433.3333,41866.66667,28067.43976,29066.66667,1 / 1048576,0.996198654,9.53674E-07
614,N1 N2 N5 N3 S7 N5 N3 S2 N4 S1,968466.6667,41900,28100.7731,29100,1 / 65536,0.996213913,1.52588E-05
615,N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S8,968466.6667,41900,28100.7731,29100,1 / 32768,0.996244431,3.05176E-05
616,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S1,968466.6667,41900,28100.7731,29100,1 / 131072,0.99625206,7.62939E-06
617,N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S8,968500,41933.33333,28134.10643,29133.33333,1 / 16384,0.996313095,6.10352E-05
618,N1 N2 N5 S7 N3 N5 S7 N3 N5 S5,968533.3333,41966.66667,28167.43976,29166.66667,1 / 262144,0.99631691,3.8147E-06
619,N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 S5,968533.3333,41966.66667,28167.43976,29166.66667,1 / 262144,0.996320724,3.8147E-06
620,N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 S5,968566.6667,42000,28200.7731,29200,1 / 65536,0.996335983,1.52588E-05
621,N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 S5,968566.6667,42000,28200.7731,29200,1 / 131072,0.996343613,7.62939E-06
622,N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 S5,968600,42033.33333,28234.10643,29233.33333,1 / 524288,0.99634552,1.90735E-06
623,N1 N2 N5 N3 S7 N7 S3 N6 N4 S2,968833.3333,42266.66667,28467.43976,29466.66667,1 / 4096,0.996589661,0.000244141
624,N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 S2,968933.3333,42366.66667,28567.43976,29566.66667,1 / 65536,0.996604919,1.52588E-05
625,N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 S2,968966.6667,42400,28600.7731,29600,1 / 16384,0.996665955,6.10352E-05
626,N1 N2 S1 N1 N2 N5 N3 S7 N5 N2 N1 S4,968966.6667,42400,28600.7731,29600,1 / 131072,0.996673584,7.62939E-06
627,N1 N2 S1 N1 N2 N5 S7 N3 N5 N2 N1 S4,968966.6667,42400,28600.7731,29600,1 / 524288,0.996675491,1.90735E-06
628,N1 N2 N5 S7 N3 N5 S7 N3 N5 S7,969000,42433.33333,28634.10643,29633.33333,1 / 262144,0.996679306,3.8147E-06
629,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N1 S4,969000,42433.33333,28634.10643,29633.33333,1 / 262144,0.996683121,3.8147E-06
