#,Pattern,Time (msec),,,,Probability,Cumulative,
630,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N1 S4,969033.3333,42466.66667,28667.43976,29666.66667,1 / 65536,0.99669838,1.52588E-05
631,N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S1,969100,42533.33333,28734.10643,29733.33333,1 / 65536,0.996713638,1.52588E-05
632,N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S1,969133.3333,42566.66667,28767.43976,29766.66667,1 / 16384,0.996774673,6.10352E-05
633,N1 N2 S1 N1 N2 N5 N3 S3 N6 N4 S1,969133.3333,42566.66667,28767.43976,29766.66667,1 / 65536,0.996789932,1.52588E-05
634,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 S1,969166.6667,42600,28800.7731,29800,1 / 32768,0.99682045,3.05176E-05
635,N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S1,969333.3333,42766.66667,28967.43976,29966.66667,1 / 32768,0.996850967,3.05176E-05
636,N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S1,969366.6667,42800,29000.7731,30000,1 / 16384,0.996912003,6.10352E-05
637,N1 N2 N5 N3 S3 N7 S7 N5 N2 N1 S4,969666.6667,43100,29300.7731,30300,1 / 8192,0.997034073,0.00012207
638,N1 N2 N5 S7 N7 S3 N3 N5 N2 N1 S4,969666.6667,43100,29300.7731,30300,1 / 32768,0.99706459,3.05176E-05
639,N1 N2 N5 N3 S7 N7 S3 N6 N4 S1,969733.3333,43166.66667,29367.43976,30366.66667,1 / 2048,0.997552872,0.000488281
640,N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 S1,969733.3333,43166.66667,29367.43976,30366.66667,1 / 65536,0.99756813,1.52588E-05
641,N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 S1,969766.6667,43200,29400.7731,30400,1 / 16384,0.997629166,6.10352E-05
642,N1 N2 N5 N3 S3 N6 N4 S1 N2 N1 S4,969900,43333.33333,29534.10643,30533.33333,1 / 16384,0.997690201,6.10352E-05
643,N1 N2 S1 N4 N6 S3 N3 N5 N2 N1 S4,969933.3333,43366.66667,29567.43976,30566.66667,1 / 8192,0.997812271,0.00012207
644,N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S7,970066.6667,43500,29700.7731,30700,1 / 131072,0.997819901,7.62939E-06
645,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 S5,970166.6667,43600,29800.7731,30800,1 / 2097152,0.997820377,4.76837E-07
646,N1 N2 N5 N3 S3 N7 S7 N3 N5 S5,970166.6667,43600,29800.7731,30800,1 / 16384,0.997881413,6.10352E-05
647,N1 N2 N5 N3 S7 N7 S3 N3 N5 S5,970166.6667,43600,29800.7731,30800,1 / 16384,0.997942448,6.10352E-05
648,N1 N2 S1 N1 N2 N5 N3 S7 N5 N3 S3,970166.6667,43600,29800.7731,30800,1 / 262144,0.997946262,3.8147E-06
649,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 S5,970200,43633.33333,29834.10643,30833.33333,1 / 524288,0.99794817,1.90735E-06
650,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 S5,970233.3333,43666.66667,29867.43976,30866.66667,1 / 1048576,0.997949123,9.53674E-07
651,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 S5,970266.6667,43700,29900.7731,30900,1 / 262144,0.997952938,3.8147E-06
652,N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S8,970266.6667,43700,29900.7731,30900,1 / 131072,0.997960567,7.62939E-06
653,N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 N3 S2,970300,43733.33333,29934.10643,30933.33333,1 / 524288,0.997962475,1.90735E-06
654,N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S8,970566.6667,44000,30200.7731,31200,1 / 524288,0.997964382,1.90735E-06
655,N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S8,970600,44033.33333,30234.10643,31233.33333,1 / 131072,0.997972012,7.62939E-06
656,N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S8,970600,44033.33333,30234.10643,31233.33333,1 / 262144,0.997975826,3.8147E-06
657,N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S8,970600,44033.33333,30234.10643,31233.33333,1 / 1048576,0.99797678,9.53674E-07
658,N1 N2 N5 N3 S3 N7 S7 N3 N5 S7,970633.3333,44066.66667,30267.43976,31266.66667,1 / 16384,0.998037815,6.10352E-05
659,N1 N2 N5 N3 S7 N5 N3 S3 N7 S7,970633.3333,44066.66667,30267.43976,31266.66667,1 / 8192,0.998159885,0.00012207
660,N1 N2 N5 N3 S7 N7 S3 N3 N5 S7,970666.6667,44100,30300.7731,31300,1 / 16384,0.998220921,6.10352E-05
661,N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 S8,970666.6667,44100,30300.7731,31300,1 / 131072,0.99822855,7.62939E-06
662,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 S5,970700,44133.33333,30334.10643,31333.33333,1 / 16384,0.998289585,6.10352E-05
663,N1 N2 N5 N3 S7 N5 N2 N1 S1 N4 S8,970700,44133.33333,30334.10643,31333.33333,1 / 32768,0.998320103,3.05176E-05
664,N1 N2 N5 N3 S7 N5 N3 S7 N7 S3,970700,44133.33333,30334.10643,31333.33333,1 / 8192,0.998442173,0.00012207
665,N1 N2 N5 N3 S3 N7 S7 N5 N3 S7,970766.6667,44200,30400.7731,31400,1 / 8192,0.998564243,0.00012207
666,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 S5,970800,44233.33333,30434.10643,31433.33333,1 / 65536,0.998579502,1.52588E-05
667,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 S7,970866.6667,44300,30500.7731,31500,1 / 2097152,0.998579979,4.76837E-07
668,N1 N2 N5 N3 S3 N7 S7 N5 N3 S3,970866.6667,44300,30500.7731,31500,1 / 16384,0.998641014,6.10352E-05
669,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 S5,970900,44333.33333,30534.10643,31533.33333,1 / 65536,0.998656273,1.52588E-05
670,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 S7,970900,44333.33333,30534.10643,31533.33333,1 / 524288,0.99865818,1.90735E-06
671,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 S7,970933.3333,44366.66667,30567.43976,31566.66667,1 / 1048576,0.998659134,9.53674E-07
672,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 S7,970966.6667,44400,30600.7731,31600,1 / 262144,0.998662949,3.8147E-06
673,N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 S5,971133.3333,44566.66667,30767.43976,31766.66667,1 / 65536,0.998678207,1.52588E-05
674,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 S7,971300,44733.33333,30934.10643,31933.33333,1 / 65536,0.998693466,1.52588E-05
675,N1 N2 N5 N3 S7 N5 N3 S2 N4 N6 S3,971300,44733.33333,30934.10643,31933.33333,1 / 32768,0.998723984,3.05176E-05
676,N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S2,971300,44733.33333,30934.10643,31933.33333,1 / 131072,0.998731613,7.62939E-06
677,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 S7,971400,44833.33333,31034.10643,32033.33333,1 / 65536,0.998746872,1.52588E-05
678,N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S1,971466.6667,44900,31100.7731,32100,1 / 262144,0.998750687,3.8147E-06
679,N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S1,971466.6667,44900,31100.7731,32100,1 / 1048576,0.99875164,9.53674E-07
680,N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S1,971466.6667,44900,31100.7731,32100,1 / 524288,0.998753548,1.90735E-06
681,N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S1,971500,44933.33333,31134.10643,32133.33333,1 / 131072,0.998761177,7.62939E-06
682,N1 N2 N5 S7 N3 N5 N2 S1 N4 N6 S3,971700,45133.33333,31334.10643,32333.33333,1 / 32768,0.998791695,3.05176E-05
683,N1 N2 N5 N3 S7 N5 N2 S1 N4 N6 S3,971733.3333,45166.66667,31367.43976,32366.66667,1 / 8192,0.998913765,0.00012207
684,N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 S7,971833.3333,45266.66667,31467.43976,32466.66667,1 / 65536,0.998929024,1.52588E-05
685,N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 S2,971833.3333,45266.66667,31467.43976,32466.66667,1 / 131072,0.998936653,7.62939E-06
686,N1 N2 N5 N3 S7 N5 N2 N1 S1 N4 S2,971866.6667,45300,31500.7731,32500,1 / 32768,0.998967171,3.05176E-05
687,N1 N2 N5 S7 N3 N5 N2 S5 N5 N2 N1 S4,972000,45433.33333,31634.10643,32633.33333,1 / 262144,0.998970985,3.8147E-06
688,N1 N2 N5 N3 S7 N5 N2 S5 N5 N2 N1 S4,972033.3333,45466.66667,31667.43976,32666.66667,1 / 65536,0.998986244,1.52588E-05
689,N1 N2 N5 S5 N2 N5 N3 S7 N5 N2 N1 S4,972033.3333,45466.66667,31667.43976,32666.66667,1 / 131072,0.998993874,7.62939E-06
690,N1 N2 N5 S5 N2 N5 S7 N3 N5 N2 N1 S4,972033.3333,45466.66667,31667.43976,32666.66667,1 / 524288,0.998995781,1.90735E-06
691,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 S5,972133.3333,45566.66667,31767.43976,32766.66667,1 / 131072,0.99900341,7.62939E-06
692,N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S7,972166.6667,45600,31800.7731,32800,1 / 131072,0.99901104,7.62939E-06
693,N1 N2 N5 S5 N2 N5 N3 S3 N6 N4 S1,972200,45633.33333,31834.10643,32833.33333,1 / 65536,0.999026299,1.52588E-05
694,N1 N2 N5 N3 S2 N4 S1 N2 N5 N3 S3,972266.6667,45700,31900.7731,32900,1 / 262144,0.999030113,3.8147E-06
695,N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 S1,972666.6667,46100,32300.7731,33300,1 / 524288,0.999032021,1.90735E-06
696,N1 N2 N5 S7 N3 N5 N2 N1 S8 N4 N6 S3,972700,46133.33333,32334.10643,33333.33333,1 / 32768,0.999062538,3.05176E-05
697,N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 S1,972733.3333,46166.66667,32367.43976,33366.66667,1 / 65536,0.999077797,1.52588E-05
698,N1 N2 N5 N3 S7 N5 N3 S7 N5 N3 S2,972733.3333,46166.66667,32367.43976,33366.66667,1 / 131072,0.999085426,7.62939E-06
699,N1 N2 N5 N3 S7 N5 N2 N1 S8 N4 N6 S3,972733.3333,46166.66667,32367.43976,33366.66667,1 / 8192,0.999207497,0.00012207
700,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 S7,972800,46233.33333,32434.10643,33433.33333,1 / 131072,0.999215126,7.62939E-06
701,N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S7,973133.3333,46566.66667,32767.43976,33766.66667,1 / 131072,0.999222755,7.62939E-06
702,N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S7,973133.3333,46566.66667,32767.43976,33766.66667,1 / 131072,0.999230385,7.62939E-06
703,N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S7,973200,46633.33333,32834.10643,33833.33333,1 / 65536,0.999245644,1.52588E-05
704,N1 N2 N5 N3 S2 N4 S8 N1 N2 N5 N3 S3,973233.3333,46666.66667,32867.43976,33866.66667,1 / 262144,0.999249458,3.8147E-06
705,N1 N2 N5 S5 N2 N5 N3 S7 N5 N3 S3,973233.3333,46666.66667,32867.43976,33866.66667,1 / 262144,0.999253273,3.8147E-06
706,N1 N2 N5 N3 S7 N5 S5 N2 N5 N3 S3,973300,46733.33333,32934.10643,33933.33333,1 / 131072,0.999260902,7.62939E-06
707,N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S7,973333.3333,46766.66667,32967.43976,33966.66667,1 / 262144,0.999264717,3.8147E-06
708,N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S7,973333.3333,46766.66667,32967.43976,33966.66667,1 / 262144,0.999268532,3.8147E-06
709,N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S7,973366.6667,46800,33000.7731,34000,1 / 65536,0.999283791,1.52588E-05
710,N1 N2 N5 S7 N3 N5 N2 S5 N5 N3 S3,973433.3333,46866.66667,33067.43976,34066.66667,1 / 524288,0.999285698,1.90735E-06
711,N1 N2 N5 S7 N3 N5 S5 N2 N5 N3 S3,973433.3333,46866.66667,33067.43976,34066.66667,1 / 524288,0.999287605,1.90735E-06
712,N1 N2 N5 N3 S7 N5 N2 S5 N5 N3 S3,973466.6667,46900,33100.7731,34100,1 / 131072,0.999295235,7.62939E-06
713,N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 S5,973766.6667,47200,33400.7731,34400,1 / 524288,0.999297142,1.90735E-06
714,N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 S5,973833.3333,47266.66667,33467.43976,34466.66667,1 / 65536,0.999312401,1.52588E-05
715,N1 N2 N5 N3 S3 N7 S7 N3 N5 N2 S1,974300,47733.33333,33934.10643,34933.33333,1 / 32768,0.999342918,3.05176E-05
716,N1 N2 N5 N3 S7 N7 S3 N3 N5 N2 S1,974300,47733.33333,33934.10643,34933.33333,1 / 32768,0.999373436,3.05176E-05
717,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 N3 S2,974500,47933.33333,34134.10643,35133.33333,1 / 4194304,0.999373674,2.38419E-07
718,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 N3 S2,974533.3333,47966.66667,34167.43976,35166.66667,1 / 1048576,0.999374628,9.53674E-07
719,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 N3 S2,974566.6667,48000,34200.7731,35200,1 / 2097152,0.999375105,4.76837E-07
720,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 N3 S2,974600,48033.33333,34234.10643,35233.33333,1 / 524288,0.999377012,1.90735E-06
721,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 N2 S1,974933.3333,48366.66667,34567.43976,35566.66667,1 / 131072,0.999384642,7.62939E-06
722,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 N5 S5,974966.6667,48400,34600.7731,35600,1 / 131072,0.999392271,7.62939E-06
723,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 N2 S1,975033.3333,48466.66667,34667.43976,35666.66667,1 / 131072,0.9993999,7.62939E-06
724,N1 N2 N5 N3 S3 N7 S7 N3 N5 N2 S5,975400,48833.33333,35034.10643,36033.33333,1 / 32768,0.999430418,3.05176E-05
725,N1 N2 N5 N3 S7 N7 S3 N3 N5 N2 S5,975433.3333,48866.66667,35067.43976,36066.66667,1 / 32768,0.999460936,3.05176E-05
726,N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 N3 S2,975466.6667,48900,35100.7731,36100,1 / 131072,0.999468565,7.62939E-06
727,N1 N2 N5 N3 S7 N5 N3 S3 N6 N4 S8,975533.3333,48966.66667,35167.43976,36166.66667,1 / 65536,0.999483824,1.52588E-05
728,N1 N2 N5 S7 N3 N5 N2 N1 S1 N4 N6 S3,975566.6667,49000,35200.7731,36200,1 / 65536,0.999499083,1.52588E-05
729,N1 N2 N5 N3 S7 N5 N2 N1 S1 N4 N6 S3,975600,49033.33333,35234.10643,36233.33333,1 / 16384,0.999560118,6.10352E-05
730,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 N5 S7,975666.6667,49100,35300.7731,36300,1 / 131072,0.999567747,7.62939E-06
731,N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 N1 S8,975800,49233.33333,35434.10643,36433.33333,1 / 1048576,0.999568701,9.53674E-07
732,N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 N1 S8,975900,49333.33333,35534.10643,36533.33333,1 / 131072,0.99957633,7.62939E-06
733,N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 N3 S7,976000,49433.33333,35634.10643,36633.33333,1 / 262144,0.999580145,3.8147E-06
734,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 N2 S5,976066.6667,49500,35700.7731,36700,1 / 131072,0.999587774,7.62939E-06
735,N1 N2 N5 N3 S2 N4 S1 N1 N2 N5 N3 S3,976100,49533.33333,35734.10643,36733.33333,1 / 524288,0.999589682,1.90735E-06
736,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 N2 S5,976166.6667,49600,35800.7731,36800,1 / 131072,0.999597311,7.62939E-06
737,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 N3 S2,976466.6667,49900,36100.7731,37100,1 / 262144,0.999601126,3.8147E-06
738,N1 N2 N5 N3 S7 N5 N3 S3 N6 N4 S2,976566.6667,50000,36200.7731,37200,1 / 65536,0.999616385,1.52588E-05
739,N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 N1 S1,976700,50133.33333,36334.10643,37333.33333,1 / 1048576,0.999617338,9.53674E-07
740,N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 N1 S1,976766.6667,50200,36400.7731,37400,1 / 131072,0.999624968,7.62939E-06
741,N1 N2 N5 S7 N3 N5 S7 N3 N5 N2 N1 S4,977233.3333,50666.66667,36867.43976,37866.66667,1 / 524288,0.999626875,1.90735E-06
742,N1 N2 N5 N3 S7 N5 N3 S7 N5 N2 N1 S4,977300,50733.33333,36934.10643,37933.33333,1 / 65536,0.999642134,1.52588E-05
743,N1 N2 N5 N3 S3 N7 S7 N3 N5 N2 N1 S8,977433.3333,50866.66667,37067.43976,38066.66667,1 / 65536,0.999657393,1.52588E-05
744,N1 N2 N5 N3 S7 N5 N3 S3 N6 N4 S1,977466.6667,50900,37100.7731,38100,1 / 32768,0.99968791,3.05176E-05
745,N1 N2 N5 N3 S7 N7 S3 N3 N5 N2 N1 S8,977466.6667,50900,37100.7731,38100,1 / 65536,0.999703169,1.52588E-05
746,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 N2 N1 S8,978100,51533.33333,37734.10643,38733.33333,1 / 262144,0.999706984,3.8147E-06
747,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 N2 N1 S8,978200,51633.33333,37834.10643,38833.33333,1 / 262144,0.999710798,3.8147E-06
748,N1 N2 N5 N3 S3 N7 S7 N3 N5 N2 N1 S1,978333.3333,51766.66667,37967.43976,38966.66667,1 / 65536,0.999726057,1.52588E-05
749,N1 N2 N5 N3 S7 N7 S3 N3 N5 N2 N1 S1,978333.3333,51766.66667,37967.43976,38966.66667,1 / 65536,0.999741316,1.52588E-05
750,N1 N2 N5 N3 S7 N5 N3 S7 N5 N3 S7,978400,51833.33333,38034.10643,39033.33333,1 / 65536,0.999756575,1.52588E-05
751,N1 N2 N5 N3 S7 N5 N3 S7 N5 N3 S3,978533.3333,51966.66667,38167.43976,39166.66667,1 / 131072,0.999764204,7.62939E-06
752,N1 N2 N5 N3 S3 N7 S7 N3 N5 N2 N1 S4,978866.6667,52300,38500.7731,39500,1 / 32768,0.999794722,3.05176E-05
753,N1 N2 N5 N3 S7 N7 S3 N3 N5 N2 N1 S4,978900,52333.33333,38534.10643,39533.33333,1 / 32768,0.999825239,3.05176E-05
754,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 N2 N1 S1,978966.6667,52400,38600.7731,39600,1 / 262144,0.999829054,3.8147E-06
755,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 N2 N1 S1,979066.6667,52500,38700.7731,39700,1 / 262144,0.999832869,3.8147E-06
756,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 N5 N3 S2,979300,52733.33333,38934.10643,39933.33333,1 / 262144,0.999836683,3.8147E-06
757,N1 N2 N5 N3 S3 N6 N4 S2 N3 N5 N2 N1 S4,979500,52933.33333,39134.10643,40133.33333,1 / 131072,0.999844313,7.62939E-06
758,N1 N2 N5 N3 S2 N4 N6 S3 N3 N5 N2 N1 S4,979633.3333,53066.66667,39267.43976,40266.66667,1 / 131072,0.999851942,7.62939E-06
759,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 N3 S7,980200,53633.33333,39834.10643,40833.33333,1 / 2097152,0.999852419,4.76837E-07
760,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 N3 S7,980233.3333,53666.66667,39867.43976,40866.66667,1 / 524288,0.999854326,1.90735E-06
761,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 N3 S7,980266.6667,53700,39900.7731,40900,1 / 1048576,0.99985528,9.53674E-07
762,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 N3 S7,980300,53733.33333,39934.10643,40933.33333,1 / 262144,0.999859095,3.8147E-06
763,N1 N2 N5 S7 N3 N5 N2 S1 N1 N2 N5 N3 S3,980300,53733.33333,39934.10643,40933.33333,1 / 4194304,0.999859333,2.38419E-07
764,N1 N2 N5 N3 S7 N5 N2 S1 N1 N2 N5 N3 S3,980333.3333,53766.66667,39967.43976,40966.66667,1 / 1048576,0.999860287,9.53674E-07
765,N1 N2 N5 S7 N3 N5 N2 N1 S1 N2 N5 N3 S3,980366.6667,53800,40000.7731,41000,1 / 2097152,0.999860764,4.76837E-07
766,N1 N2 N5 N3 S7 N5 N2 N1 S1 N2 N5 N3 S3,980400,53833.33333,40034.10643,41033.33333,1 / 524288,0.999862671,1.90735E-06
767,N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 N3 S7,981166.6667,54600,40800.7731,41800,1 / 65536,0.99987793,1.52588E-05
768,N1 N2 N5 N3 S3 N6 N4 S1 N2 N5 N3 S3,981266.6667,54700,40900.7731,41900,1 / 131072,0.999885559,7.62939E-06
769,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 N3 S7,982166.6667,55600,41800.7731,42800,1 / 131072,0.999893188,7.62939E-06
770,N1 N2 N5 N3 S3 N6 N4 S8 N1 N2 N5 N3 S3,982266.6667,55700,41900.7731,42900,1 / 262144,0.999897003,3.8147E-06
771,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 N5 N3 S7,985000,58433.33333,44634.10643,45633.33333,1 / 131072,0.999904633,7.62939E-06
772,N1 N2 N5 N3 S3 N6 N4 S1 N1 N2 N5 N3 S3,985100,58533.33333,44734.10643,45733.33333,1 / 262144,0.999908447,3.8147E-06
773,N1 N2 N5 N3 S2 N4 S1 N1 S8,987366.6667,60800,47000.7731,48000,1 / 16384,0.999969482,6.10352E-05
774,N1 N2 N5 N3 S7 N5 N2 S1 N1 S8,991633.3333,65066.66667,51267.43976,52266.66667,1 / 32768,1,3.05176E-05
